1st_year_revenue,title,year,released,runtime,top_10_dir,top_50_dir,top_100_dir,top_10_actors,top_50_actors,top_100_actors,language,country,rating,Action,Adventure,Fantasy/Sci-Fi,Crime,Thriller/Mystery,Drama,Horror,Comedy,Documentary,Family/Animated,Biography/History,Romance,Music/Musical,Likely TV
15472775,The Turning,2020,2020-01-24,94.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,Foreign country,PG-13,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14163574,Honest Thief,2020,2020-10-16,99.0,0.0,0.0,0.0,1.0,1.0,1.0,English and others,US only,PG-13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12611536,Brahms: The Boy II,2020,2020-02-21,86.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US and others,PG-13,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10410004,I Still Believe,2020,2020-03-13,116.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,PG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10021787,Bloodshot,2020,2020-03-13,109.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,US only,PG-13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9505540,Come Play,2020,2020-10-30,96.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US and others,PG-13,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9347940,Let Him Go,2020,2020-11-06,113.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,US only,R,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8702060,Freaky,2020,2020-11-13,102.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,R,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8287061,Downhill,2020,2020-02-14,86.0,0.0,0.0,0.0,0.0,0.0,1.0,English and others,US only,R,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20578185,The Photograph,2020,2020-02-14,106.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US and others,PG-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20831465,Unhinged,2020,2020-08-21,90.0,0.0,0.0,0.0,0.0,0.0,1.0,English only,Foreign country,R,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46801036,Wonder Woman 1984,2020,2020-12-25,151.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,US only,PG-13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204417855,Bad Boys for Life,2020,2020-01-17,124.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,US only,R,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146066470,Sonic the Hedgehog,2020,2020-02-14,99.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,US and others,PG,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77047065,Dolittle,2020,2020-01-17,101.0,0.0,0.0,0.0,0.0,1.0,1.0,English and others,US and others,PG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
64914050,The Invisible Man,2020,2020-02-28,124.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,Foreign country,R,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62342368,The Call of the Wild,2020,2020-02-21,100.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,US only,PG,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61555145,Onward,2020,2020-03-06,102.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,PG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
58044165,Tenet,2020,2020-09-03,150.0,0.0,1.0,1.0,0.0,0.0,0.0,English and others,US and others,PG-13,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36471796,The Gentlemen,2019,2020-01-24,113.0,0.0,1.0,1.0,0.0,1.0,1.0,English and others,Foreign country,R,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36001502,Just Mercy,2019,2020-01-10,137.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,PG-13,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32334280,The Croods: A New Age,2020,2020-11-25,95.0,0.0,0.0,0.0,1.0,1.0,1.0,English only,US only,PG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
26441782,Fantasy Island,2020,2020-02-14,109.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,PG-13,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23855569,The New Mutants,2020,2020-08-28,94.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,US only,PG-13,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22169514,Like a Boss,2020,2020-01-10,83.0,0.0,0.0,1.0,0.0,0.0,0.0,English and others,US only,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1815440,The Wretched,2019,2020-05-01,95.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,Unrated,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637548,The Rental,2020,2020-07-24,88.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,R,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1349284,2 Hearts,2020,2020-10-16,101.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,PG-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6460965,Promising Young Woman,2020,2020-12-25,113.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,Foreign country,R,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100310,The Assistant,2019,2020-01-31,87.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,US only,R,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070714,Love and Monsters,2020,2020-10-16,109.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,Foreign country,PG-13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1044212,The Tax Collector,2020,2020-08-07,95.0,0.0,0.0,1.0,0.0,0.0,0.0,English and others,US only,Unrated,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002852,Becky,2020,2020-06-05,93.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,R,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913935,All My Life,2020,2020-12-04,91.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US and others,PG-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2241980,Half Brothers,2020,2020-12-04,96.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,Foreign country,PG-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5437971,The Rhythm Section,2020,2020-01-31,109.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,Foreign country,R,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15162470,Monster Hunter,2020,2020-12-18,103.0,0.0,0.0,1.0,0.0,0.0,0.0,English only,Foreign country,PG-13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4777471,Hocus Pocus,1993,1993-07-16,96.0,0.0,0.0,0.0,0.0,0.0,0.0,English and others,US only,PG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4066487,The Broken Hearts Gallery,2020,2020-09-11,109.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US and others,PG-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4051990,Infidel,2019,2020-09-18,108.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,R,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3896391,A Christmas Story,1983,1983-11-18,93.0,0.0,0.0,0.0,0.0,0.0,0.0,English only,US only,PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
870305,Toy Story,1995,1995-11-22,81.0,0.0,0.0,0.0,0.0,1.0,1.0,English only,US only,G,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
