Rank,Movie,Release Date,Distributor,Genre,2022 Gross,Tickets Sold
327,Good Mourning,"May 20, 2022",Open Road,Comedy,"$21,348","2,328"
328,Mr. Klein,"Nov 6, 1977",Quartet Films,Drama,"$20,741","2,261"
329,Project Wolf Hunting,"Oct 7, 2022",Well Go USA,Thriller/Suspense,"$20,541","2,240"
330,Unplugging,"Apr 22, 2022",Vertical Entertai…,Comedy,"$20,500","2,235"
331,France,"Dec 10, 2021",Kino Lorber,Comedy,"$20,336","2,217"
332,C’mon C’mon,"Nov 19, 2021",A24,Drama,"$19,896","2,169"
333,Life & Life,"Oct 14, 2022",Indican Pictures,Documentary,"$19,678","2,145"
334,The Runner,"Dec 31, 1991",,Drama,"$19,458","2,121"
335,Sirens,"Sep 30, 2022",Oscilloscope Pict…,Documentary,"$19,262","2,100"
336,Flux Gourmet,"Jun 24, 2022",IFC Midnight,Horror,"$19,222","2,096"
337,The Cherry Bushido,"Mar 11, 2022",Freestyle Releasing,Adventure,"$19,100","2,082"
338,"Costa Brava, Lebanon","Jul 15, 2022",Kino Lorber,Drama,"$18,712","2,040"
339,Charlotte,"Apr 22, 2022",Good Deed Enterta…,Drama,"$18,520","2,019"
340,Benedetta,"Dec 3, 2021",IFC Films,Drama,"$18,431","2,009"
341,Lost Highway,"Feb 21, 1997",October Films,Thriller/Suspense,"$18,028","1,965"
342,The Scary of Sixty First,"Dec 3, 2021",Utopia,Horror,"$17,689","1,929"
343,Bad Axe,"Nov 18, 2022",IFC Films,Documentary,"$16,689","1,819"
344,Beba,"Jun 24, 2022",Neon,Documentary,"$16,254","1,772"
345,Slash/Back,"Jun 24, 2022",Mongrel Media,Thriller/Suspense,"$16,247","1,771"
346,Rite of the Shaman,"May 27, 2022",Purdie Distribution,Drama,"$16,221","1,768"
347,Huda’s Salon,"Mar 4, 2022",IFC Films,Thriller/Suspense,"$16,128","1,758"
348,Claydream,"Aug 5, 2022",Oscilloscope Pict…,Documentary,"$16,093","1,754"
349,Wildhood,"Mar 11, 2022",Mongrel Media,Drama,"$15,998","1,744"
350,She Will,"Jul 15, 2022",IFC Midnight,Thriller/Suspense,"$15,011","1,636"
351,Bad Luck Banging or Loony Porn,"Nov 19, 2021",Magnolia Pictures,Comedy,"$14,576","1,589"
352,You Resemble Me,"Nov 4, 2022",,Drama,"$14,395","1,569"
353,¡Viva Maestro!,"Apr 8, 2022",Greenwich,Documentary,"$14,310","1,560"
354,Writing With Fire,"Nov 26, 2021",Music Box Films,Documentary,"$14,112","1,538"
355,The Tale of King Crab,"Apr 15, 2022",Oscilloscope Pict…,Drama,"$12,896","1,406"
356,Olga,"Jun 24, 2022",Kino Lorber,Drama,"$12,494","1,362"
357,The Wobblies,"Mar 18, 1981",First Run Features,Documentary,"$12,232","1,333"
358,Shortbus,"Oct 4, 2006",ThinkFilm,Comedy,"$12,205","1,330"
359,Clara Sola,"Jul 1, 2022",Oscilloscope Pict…,Drama,"$12,076","1,316"
360,Fire in the Mountains,"May 20, 2022",Kino Lorber,Drama,"$12,038","1,312"
361,Laleh Drive,"Mar 18, 2022",Integrity Releasing,Action,"$11,920","1,299"
362,Pretty Problems,"Oct 7, 2022",IFC Films,Comedy,"$11,400","1,243"
363,Medusa,"Jul 29, 2022",Music Box Films,Thriller/Suspense,"$11,315","1,233"
364,Last Flight Home,"Oct 7, 2022",MTV Documentary F…,Documentary,"$10,984","1,197"
365,Barbarians,"Apr 1, 2022",IFC Midnight,Thriller/Suspense,"$10,742","1,171"
366,Distant,"Mar 12, 2004",New Yorker,Drama,"$10,580","1,153"
367,Only in Theaters,"Nov 18, 2022",The Film Collabor…,Documentary,"$9,972","1,087"
368,Alma’s Rainbow,"Jun 23, 1994",Xenon Pictures,Comedy,"$9,577","1,044"
369,Stunt Rock,"May 9, 1980",,Action,"$9,530","1,039"
370,The Torch,"Mar 18, 2022",IFC Films,Documentary,"$9,459","1,031"
371,Learn to Swim,"Mar 25, 2022",Mongrel Media,Drama,"$9,294","1,013"
372,Julia,"Nov 12, 2021",Sony Pictures Cla…,Documentary,"$9,246","1,008"
373,In Front of Your Face,"May 6, 2022",Cinema Guild,Drama,"$9,150",997
374,About Fate,"Sep 9, 2022",United Artists,Romantic Comedy,"$8,688",947
375,Burial,"Sep 2, 2022",IFC Midnight,Thriller/Suspense,"$8,566",934
376,Hold Your Fire,"May 20, 2022",IFC Films,Documentary,"$7,502",818
377,Mau,"May 13, 2022",Greenwich,Documentary,"$7,500",817
378,Alter Ego,"Jan 14, 2022",Indican Pictures,Thriller/Suspense,"$7,390",805
379,There There,"Nov 18, 2022",Magnolia Pictures,Drama,"$7,147",779
380,Gossamer Folds,"Aug 12, 2022",Indican Pictures,Drama,"$7,113",775
381,I’ve Heard the Mermaids Sin…,"Mar 11, 2022",Kino Lorber,Comedy,"$6,840",745
382,Kamikaze Hearts,"Nov 30, 1986",Facets,Drama,"$6,669",727
383,The Story of Film: A New Ge…,"Sep 9, 2022",Music Box Films,Documentary,"$6,363",693
384,Fiddler’s Journey to the Bi…,"Apr 29, 2022",Zeitgeist,Documentary,"$6,318",688
385,When Men Were Men,"Nov 4, 2022",Indican Pictures,Drama,"$6,125",667
386,"Hello, Bookstore","Apr 29, 2022",Greenwich,Documentary,"$6,000",654
387,Italian Studies,"Jan 14, 2022",Magnolia Pictures,Drama,"$5,895",642
388,A Taste of Hunger,"Jan 28, 2022",Magnolia Pictures,Drama,"$5,860",639
389,A Banquet,"Feb 18, 2022",IFC Midnight,Thriller/Suspense,"$5,238",571
390,Saloum,"Sep 2, 2022",IFC Midnight,Thriller/Suspense,"$5,078",553
391,A Couple,"Nov 11, 2022",Zipporah,Drama,"$5,000",545
392,Mondocane,"May 20, 2022",Kino Lorber,Thriller/Suspense,"$4,927",537
393,Next Exit,"Nov 4, 2022",Magnet Releasing,Comedy,"$4,742",517
394,The Gravedigger,"Mar 25, 2022",Indican Pictures,Horror,"$4,726",515
395,A Man of Integrity,"Jun 17, 2022",Big World Pictures,Drama,"$4,499",490
396,a-ha: The Movie,"Apr 8, 2022",Lightyear Enterta…,Documentary,"$4,258",464
397,Luzzu,"Oct 15, 2021",Kino Lorber,Drama,"$3,996",435
398,Carmen,"Sep 23, 2022",Good Deed Enterta…,Drama,"$3,927",428
399,The Novice,"Dec 17, 2021",IFC Films,Thriller/Suspense,"$3,802",414
400,Adventures in Success,"Mar 4, 2022",Utopia,Comedy,"$3,695",402
401,Going All the Way,"Sep 19, 1997",Gramercy,Drama,"$3,648",397
402,Into the Weeds,"May 20, 2022",Mongrel Media,Documentary,"$3,410",371
403,Carp-e Diem,"Sep 16, 2022",Indican Pictures,Comedy,"$3,364",366
404,Bar Fight!,"Nov 11, 2022",IFC Films,Comedy,"$3,300",359
405,Leonor Will Never Die,"Nov 25, 2022",Music Box Films,Comedy,"$3,213",350
406,Bloom Up: A Swinger Couple …,"Aug 12, 2022",Kino Lorber,Documentary,"$3,107",338
407,Highway One,"Aug 26, 2022",Indican Pictures,Drama,"$3,063",334
408,The Modern Way,"Sep 16, 2022",Indican Pictures,Drama,"$3,059",333
409,Apples,"Jun 24, 2022",Cohen Media Group,Comedy,"$2,934",319
410,Ultrasound,"Mar 11, 2022",Magnet Releasing,Thriller/Suspense,"$2,908",317
411,The Sleeping Negro,"Dec 3, 2021",ArtMattan Films,Drama,"$2,830",308
412,Golden Voices,"Oct 8, 2021",Music Box Films,Romantic Comedy,"$2,305",251
413,Stanleyville,"Apr 22, 2022",Oscilloscope Pict…,Comedy,"$2,137",233
414,Kill Devil Hills,"Jun 4, 2022",Sumbadhat Product…,Horror,"$2,022",220
415,B’Twixt Now and Sunrise,"Sep 30, 2022",Rialto Pictures,Horror,"$1,996",217
416,Rubikon,"Jul 1, 2022",IFC Midnight,Thriller/Suspense,"$1,843",200
417,Losing Ground,"Oct 7, 2022",Kino Lorber,Drama,"$1,486",162
418,Sensational Short Films,"Sep 11, 2022",,Multiple Genres,"$1,272",138
419,Petite fille,"Sep 17, 2021",Music Box Films,Documentary,"$1,122",122
420,Veneciafrenia,"Aug 12, 2022",Sony Pictures,Adventure,"$1,006",109
421,Sniper: The White Raven,"Jul 1, 2022",Well Go USA,Drama,$881,96
422,Terror on the Prairie,"Aug 10, 2022",The Daily Wire,Western,$804,87
423,Found Wandering Lost,"Jan 27, 2022",Mutiny Pictures,Drama,$570,62
424,The Burning Sea,"Feb 25, 2022",Magnet Releasing,Action,$493,53
425,Indemnity,"Feb 11, 2022",Magnet Releasing,Action,$347,37
Total Gross of All Movies,"$6,736,142,326",,Total Tickets Sold,"734,584,551"
