Rank,Movie,Release Date,Distributor,Genre,2022 Gross,Tickets Sold
109,Nightmare Alley,"Dec 17, 2021",Searchlight Pictures,Thriller/Suspense,"$3,757,964","409,810"
110,Laal Singh Chaddha,"Aug 11, 2022",Paramount Pictures,Drama,"$3,401,324","370,918"
111,The Outfit,"Mar 18, 2022",Focus Features,Drama,"$3,344,040","364,671"
112,The Worst Person in the World,"Feb 4, 2022",Neon,Comedy,"$3,034,775","330,946"
113,Breaking,"Aug 26, 2022",Bleecker Street,Thriller/Suspense,"$2,806,359","306,036"
114,Honk for Jesus. Save Your S…,"Sep 2, 2022",Focus Features,Comedy,"$2,561,270","279,309"
115,Mack & Rita,"Aug 12, 2022",Gravitas Ventures,Comedy,"$2,535,459","276,494"
116,Studio 666,"Feb 25, 2022",Open Road,Horror,"$2,513,963","274,150"
117,A Journal for Jordan,"Dec 10, 2021",Sony Pictures,Drama,"$2,494,113","271,986"
118,Crimes of the Future,"Jun 3, 2022",Neon,Horror,"$2,452,882","267,489"
119,Belfast,"Nov 12, 2021",Focus Features,Drama,"$2,364,945","257,900"
120,Gigi & Nate,"Sep 2, 2022",Roadside Attractions,Drama,"$2,280,814","248,725"
121,The Good House,"Sep 30, 2022",Roadside Attractions,Comedy,"$2,219,760","242,067"
122,Parallel Mothers,"Dec 24, 2021",Sony Pictures Cla…,Drama,"$2,177,773","237,488"
123,Emily the Criminal,"Aug 12, 2022",Roadside Attractions,Thriller/Suspense,"$2,156,296","235,146"
124,The Wolf and the Lion,"Feb 4, 2022",Blue Fox Entertai…,Adventure,"$2,072,173","225,973"
125,Umma,"Mar 18, 2022",Sony Pictures,Horror,"$2,071,495","225,899"
126,Jeepers Creepers: Reborn,"Sep 19, 2022",Fathom Events,Horror,"$2,033,057","221,707"
127,Drive My Car,"Nov 24, 2021",Janus Films,Drama,"$2,023,519","220,667"
128,Watcher,"Jun 3, 2022",IFC Midnight,Thriller/Suspense,"$1,961,207","213,872"
